coordinate_id,coordinate_img,preference,target_age_group,tpo,weather_condition
1,https://i.pinimg.com/236x/cb/88/4f/cb884fa7c5a7c6df5d1eebc8a1e34813.jpg,minimal,20대 후반,daily,HOT
2,https://i.pinimg.com/236x/36/50/f1/3650f1f2a254d671a1aa4578646e4c30.jpg,minimal,20대 후반,daily,HOT
3,https://i.pinimg.com/236x/24/1c/fd/241cfd8f7234344bee6b029490310b9d.jpg,minimal,20대 후반,daily,HOT
4,https://i.pinimg.com/236x/05/e9/c3/05e9c396663fd53ca2e0622f30adc259.jpg,minimal,20대 후반,daily,HOT
5,https://i.pinimg.com/236x/24/3e/bb/243ebb6cf942beb66e7d8bebae2ac735.jpg,minimal,20대 후반,daily,HOT
6,https://i.pinimg.com/236x/2b/de/21/2bde214546e0f289bc25479839714da5.jpg,minimal,20대 후반,daily,HOT
7,https://i.pinimg.com/236x/14/0e/03/140e032d885521d8e457126468330a21.jpg,minimal,20대 후반,daily,HOT
8,https://i.pinimg.com/236x/2f/c8/4b/2fc84bbb473f38d54ed3e73e5a3efdf1.jpg,minimal,20대 후반,daily,HOT
9,https://i.pinimg.com/236x/75/e9/6a/75e96a23227f923e0823fafe57ca2ec5.jpg,minimal,20대 후반,daily,HOT
10,https://i.pinimg.com/236x/9f/6d/06/9f6d06bed94127b84c7898cee5e1302f.jpg,minimal,20대 초반,daily,CHILL
11,https://i.pinimg.com/236x/14/28/11/14281130f9dc4ba5a0daf113ce9289c8.jpg,minimal,20대 초반,daily,CHILL
12,https://i.pinimg.com/236x/b8/cb/4d/b8cb4d4a11e6dfb27b9890a9cd28335d.jpg,minimal,20대 초반,daily,CHILL
13,https://i.pinimg.com/236x/06/db/43/06db43cfd5c16acb30c0f10cbc5a9f37.jpg,minimal,20대 초반,daily,CHILL
14,https://i.pinimg.com/236x/39/4b/76/394b761ba528c7286d2b40f02fd61ff2.jpg,minimal,20대 초반,daily,CHILL
15,https://i.pinimg.com/236x/75/e9/6a/75e96a23227f923e0823fafe57ca2ec5.jpg,minimal,20대 초반,daily,CHILL
16,https://i.pinimg.com/236x/eb/bd/ee/ebbdee992214d70a027bd04ed78acc45.jpg,minimal,20대 초반,daily,CHILL
17,https://i.pinimg.com/236x/8a/80/7b/8a807b123fa649c5821fa411f06c36e5.jpg,minimal,normal,daily,CHILL
18,https://i.pinimg.com/236x/9f/6d/06/9f6d06bed94127b84c7898cee5e1302f.jpg,minimal,normal,daily,CHILL
19,https://i.pinimg.com/236x/e8/e0/ca/e8e0ca3396c0c6294902ba9c0fc67da3.jpg,minimal,normal,daily,CHILL
20,https://i.pinimg.com/236x/06/db/43/06db43cfd5c16acb30c0f10cbc5a9f37.jpg,minimal,normal,daily,CHILL
21,https://i.pinimg.com/236x/f2/a8/60/f2a8609547a88e5b7931c827321c4cd3.jpg,minimal,normal,daily,CHILL
22,https://i.pinimg.com/236x/eb/bd/ee/ebbdee992214d70a027bd04ed78acc45.jpg,minimal,normal,daily,CHILL
23,https://i.pinimg.com/236x/b8/cb/4d/b8cb4d4a11e6dfb27b9890a9cd28335d.jpg,minimal,20대 후반,daily,CHILL
24,https://i.pinimg.com/236x/d3/0f/09/d30f09b4ba808684886c435b2721f50a.jpg,minimal,20대 후반,daily,CHILL
25,https://i.pinimg.com/236x/06/db/43/06db43cfd5c16acb30c0f10cbc5a9f37.jpg,minimal,20대 후반,daily,CHILL
26,https://i.pinimg.com/236x/39/4b/76/394b761ba528c7286d2b40f02fd61ff2.jpg,minimal,20대 후반,daily,CHILL
27,https://i.pinimg.com/236x/75/e9/6a/75e96a23227f923e0823fafe57ca2ec5.jpg,minimal,20대 후반,daily,CHILL
28,https://i.pinimg.com/236x/f2/a8/60/f2a8609547a88e5b7931c827321c4cd3.jpg,minimal,20대 후반,daily,CHILL
29,https://i.pinimg.com/236x/eb/bd/ee/ebbdee992214d70a027bd04ed78acc45.jpg,minimal,20대 후반,daily,CHILL
30,https://i.pinimg.com/236x/08/d1/0d/08d10d45e36ec6efee499c19b45a748f.jpg,minimal,normal,daily,COLD
31,https://i.pinimg.com/236x/49/0b/68/490b6890b6c50cbe7cb7de60a589512d.jpg,minimal,normal,daily,COLD
32,https://i.pinimg.com/236x/2f/3b/ca/2f3bcaaeb12aa9c344347a2373233feb.jpg,minimal,normal,daily,COLD
33,https://i.pinimg.com/236x/92/96/c8/9296c89ea1a7cf93675417efc776d2bc.jpg,minimal,normal,daily,COLD
34,https://i.pinimg.com/236x/1a/b8/56/1ab8560a2ddb89e06e0430c9dc29bb91.jpg,minimal,normal,daily,COLD
35,https://i.pinimg.com/236x/e6/92/ae/e692aefeeb34a0d52ed90737eacb9609.jpg,minimal,normal,daily,COLD
36,https://i.pinimg.com/236x/bd/4a/30/bd4a303407fbde1254053c5cbc08ddca.jpg,minimal,normal,daily,COLD
37,https://i.pinimg.com/236x/ca/0b/d9/ca0bd94daacafced7a02291dfe3f9a49.jpg,minimal,20대 후반,daily,COLD
38,https://i.pinimg.com/236x/0e/c5/2f/0ec52fd3338f2cb64cc66c6555303911.jpg,minimal,20대 후반,daily,COLD
39,https://i.pinimg.com/236x/8b/9f/8d/8b9f8d5bcb664fed9eb4cf639a565a13.jpg,minimal,20대 후반,daily,COLD
40,https://i.pinimg.com/236x/26/62/79/266279d129b68ec6d671ee49fcf494e8.jpg,minimal,20대 후반,daily,COLD
41,https://i.pinimg.com/236x/2a/86/88/2a868840fc861bac1176d87d3fb89947.jpg,minimal,20대 후반,daily,COLD
42,https://i.pinimg.com/236x/81/ff/45/81ff45354b0a32dcf28387b41c20245a.jpg,minimal,20대 후반,daily,COLD
43,https://i.pinimg.com/236x/92/96/c8/9296c89ea1a7cf93675417efc776d2bc.jpg,minimal,20대 후반,daily,COLD
44,https://i.pinimg.com/236x/ae/41/83/ae418360640a4d135ff1b98171131460.jpg,minimal,20대 후반,daily,COLD
45,https://i.pinimg.com/236x/39/4b/76/394b761ba528c7286d2b40f02fd61ff2.jpg,minimal,20대 후반,daily,COLD
46,https://i.pinimg.com/236x/92/96/c8/9296c89ea1a7cf93675417efc776d2bc.jpg,minimal,normal,daily,SNOW
47,https://i.pinimg.com/236x/3c/bb/15/3cbb154507fa24236a51f0eb2450b337.jpg,minimal,normal,daily,SNOW
48,https://i.pinimg.com/236x/52/f5/59/52f5592670fd5053e151829de738a830.jpg,minimal,normal,daily,SNOW
49,https://i.pinimg.com/236x/67/97/fa/6797fad8c21efc0a8ec574c47d79ead6.jpg,minimal,normal,daily,SNOW
50,https://i.pinimg.com/236x/eb/bd/ee/ebbdee992214d70a027bd04ed78acc45.jpg,minimal,normal,daily,SNOW
51,https://i.pinimg.com/236x/51/66/d7/5166d7845ddd9bc7e86b913ab43ce437.jpg,street,20대 초반,daily,WARM
52,https://i.pinimg.com/236x/bf/7a/6d/bf7a6d6747f79bb16ac4ed2f7dff3e54.jpg,street,20대 초반,daily,WARM
53,https://i.pinimg.com/236x/09/bb/b1/09bbb1ad1c24bd7c47afa84b9d7ea68f.jpg,street,20대 초반,daily,WARM
54,https://i.pinimg.com/236x/fe/a8/a5/fea8a5b42d3ee3f37f1e3d3265981825.jpg,street,20대 초반,daily,WARM
55,https://i.pinimg.com/236x/ca/d4/b0/cad4b0b81c07fdbed2bea673cfdc61ed.jpg,street,20대 초반,daily,WARM
56,https://i.pinimg.com/236x/8e/b2/e5/8eb2e5feed56b16d74aa1b22390e3cbe.jpg,street,20대 초반,daily,WARM
57,https://i.pinimg.com/236x/4d/0d/c3/4d0dc38a9e9946d622522b8d53f79cb3.jpg,street,20대 초반,daily,WARM
58,https://i.pinimg.com/236x/3a/d3/ab/3ad3ab26cea52ea60bcb892c216d9b7a.jpg,street,20대 초반,daily,WARM
59,https://i.pinimg.com/236x/07/de/3e/07de3e161e47cc534d165c9d15f9f285.jpg,street,20대 초반,daily,WARM
60,https://i.pinimg.com/236x/4a/85/ba/4a85badad53783ab5b6f7e52d998e134.jpg,street,20대 초반,daily,WARM
61,https://i.pinimg.com/videos/thumbnails/originals/89/30/61/89306188a5d9406c5f1c91a5b6cdaa84.0000000.jpg,street,20대 초반,daily,WARM
62,https://i.pinimg.com/236x/36/55/6a/36556a1c2c4f0fb68b5fa1e35f3381c0.jpg,street,20대 초반,daily,WARM
63,https://i.pinimg.com/236x/96/05/63/9605635946a5014dae6f1f415de4fd6e.jpg,street,normal,daily,WARM
64,https://i.pinimg.com/236x/3e/9e/5c/3e9e5c02ba3e191f4dce976463267769.jpg,street,normal,daily,WARM
65,https://i.pinimg.com/236x/98/b4/a1/98b4a16253f2d1c96805fa78e589e1eb.jpg,street,normal,daily,WARM
66,https://i.pinimg.com/236x/99/e7/12/99e712f83e10b5d55d4f13bccbfc95e2.jpg,street,normal,daily,WARM
67,https://i.pinimg.com/236x/6a/0e/f3/6a0ef39f07b85278d58658c890c43c7f.jpg,street,normal,daily,WARM
68,https://i.pinimg.com/236x/7f/5f/34/7f5f34977cae0ad5da3ee920f73435ec.jpg,street,normal,daily,WARM
69,https://i.pinimg.com/236x/8d/b8/1f/8db81f9e7b1361a7c550e50931df3e08.jpg,street,normal,daily,WARM
70,https://i.pinimg.com/236x/82/6b/09/826b09a2c6cf5b8889db6661af1157ac.jpg,street,normal,daily,WARM
71,https://i.pinimg.com/236x/96/e5/f6/96e5f63c9ca3f30434ce907680efd0f5.jpg,street,normal,daily,WARM
72,https://i.pinimg.com/236x/e7/d7/b6/e7d7b6eb38ce663863c1ca3bbdc4999c.jpg,street,normal,daily,WARM
73,https://i.pinimg.com/236x/38/3a/ac/383aac073f9fac66f20ac180cc7b00cd.jpg,street,20대 후반,daily,WARM
74,https://i.pinimg.com/236x/98/b9/40/98b940a7a7e4dea2aec25f539a450bd3.jpg,street,20대 후반,daily,WARM
75,https://i.pinimg.com/236x/70/4b/0c/704b0caa185548dcc64a6438edec6fba.jpg,street,20대 후반,daily,WARM
76,https://i.pinimg.com/236x/3f/c1/95/3fc195799e8499b1ad8ff7ce412028c0.jpg,street,20대 후반,daily,WARM
77,https://i.pinimg.com/236x/cf/91/37/cf9137c26124198e0a1cb5ffb19ba6d4.jpg,street,20대 후반,daily,WARM
78,https://i.pinimg.com/236x/6a/0e/f3/6a0ef39f07b85278d58658c890c43c7f.jpg,street,20대 후반,daily,WARM
79,https://i.pinimg.com/236x/3e/9e/5c/3e9e5c02ba3e191f4dce976463267769.jpg,street,20대 후반,daily,WARM
80,https://i.pinimg.com/236x/b1/5c/50/b15c50e74933e783e04f7f9f2212b371.jpg,street,20대 후반,daily,WARM
81,https://i.pinimg.com/236x/96/e5/f6/96e5f63c9ca3f30434ce907680efd0f5.jpg,street,20대 후반,daily,WARM
82,https://i.pinimg.com/videos/thumbnails/originals/f9/21/ac/f921ac5b91649fc7c5819bab3e1ca614.0000000.jpg,lovely,20대 초반,date,WARM
83,https://i.pinimg.com/236x/b2/68/fb/b268fb87c5f286bb75560084a4fa6f35.jpg,lovely,20대 초반,date,WARM
84,https://i.pinimg.com/236x/cc/21/bb/cc21bb6c7661c04719d6cb90b07bbdfb.jpg,lovely,20대 초반,date,WARM
85,https://i.pinimg.com/236x/8b/0f/ae/8b0faee111ece88b2161fd03d0387e7b.jpg,lovely,20대 초반,date,WARM
86,https://i.pinimg.com/236x/64/8c/56/648c565f347f7562537864af56199352.jpg,lovely,20대 초반,date,WARM
87,https://i.pinimg.com/236x/06/22/6c/06226ccbd3e4b542d21ee9626b9b187d.jpg,lovely,20대 초반,date,WARM
88,https://i.pinimg.com/236x/6f/6f/fa/6f6ffa42940446129e949a7f9f410ed3.jpg,lovely,20대 초반,date,WARM
89,https://i.pinimg.com/236x/08/d1/0d/08d10d45e36ec6efee499c19b45a748f.jpg,lovely,20대 초반,date,WARM
90,https://i.pinimg.com/236x/d4/33/24/d43324b6bc7230a5c9f1810742b9c04d.jpg,lovely,20대 초반,date,WARM
91,https://i.pinimg.com/236x/2f/3b/ca/2f3bcaaeb12aa9c344347a2373233feb.jpg,minimal,normal,daily,SNOW
